City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,port elizabeth,ZA,-33.918,25.5701,53.31,99,71,1.99,broken clouds,0.0,0
72,chernyshevskiy,RU,63.0128,112.4714,70.95,44,100,2.55,overcast clouds,0.0,0
73,hermanus,ZA,-34.4187,19.2345,50.77,77,0,6.17,clear sky,0.0,0
74,dikson,RU,73.5069,80.5464,35.22,98,100,2.95,overcast clouds,0.0,0
75,celestun,MX,20.8667,-90.4,80.82,80,74,14.72,broken clouds,0.0,0
76,saskylakh,RU,71.9167,114.0833,53.51,49,91,5.26,overcast clouds,0.0,0
77,yar-sale,RU,66.8333,70.8333,48.81,86,100,15.99,overcast clouds,0.0,0
78,samarai,PG,-10.6167,150.6667,83.7,73,31,12.59,scattered clouds,0.0,0
79,faya,SA,18.3851,42.4509,63.12,45,4,6.67,clear sky,0.0,0
80,upernavik,GL,72.7868,-56.1549,37.78,88,0,12.01,clear sky,0.0,0
81,thompson,CA,55.7435,-97.8558,58.12,47,79,3.87,broken clouds,0.0,0
82,punta arenas,CL,-53.15,-70.9167,33.91,80,100,4.12,overcast clouds,0.0,0
83,ostrovnoy,RU,68.0531,39.5131,52.05,94,95,4.45,overcast clouds,0.0,0
84,lorengau,PG,-2.0226,147.2712,85.3,68,79,6.31,broken clouds,0.0,0
85,umm lajj,SA,25.0213,37.2685,83.35,58,39,3.49,scattered clouds,0.0,0
86,lisakovsk,KZ,52.5369,62.4936,51.42,82,100,15.68,overcast clouds,0.0,0
87,cherskiy,RU,68.75,161.3,70.81,39,100,16.55,overcast clouds,0.0,0
88,castro,BR,-24.7911,-50.0119,55.47,75,100,3.24,overcast clouds,0.0,0
89,mar del plata,AR,-38.0023,-57.5575,42.1,100,0,0.0,clear sky,0.0,0
90,saint-philippe,RE,-21.3585,55.7679,64.22,81,48,11.07,scattered clouds,0.0,0
91,balykshi,KZ,47.0667,51.8667,62.6,82,75,6.71,broken clouds,0.0,0
92,bambous virieux,MU,-20.3428,57.7575,68.22,71,98,18.05,overcast clouds,0.0,0
93,tuatapere,NZ,-46.1333,167.6833,51.4,69,46,12.97,scattered clouds,0.0,0
94,pisco,PE,-13.7,-76.2167,58.01,86,9,3.8,clear sky,0.0,0
95,pouebo,NC,-20.4,164.5667,78.57,77,65,13.8,broken clouds,0.0,0
96,coro,VE,11.4045,-69.6734,78.12,87,47,15.75,scattered clouds,0.0,0
97,genhe,CN,50.7833,121.5167,85.93,42,96,8.05,overcast clouds,0.0,0
98,codrington,AU,-38.2667,141.9667,59.27,56,82,10.87,broken clouds,0.0,0
99,north bend,US,43.4065,-124.2243,67.24,100,80,1.01,broken clouds,0.0,0
100,kodiak,US,57.79,-152.4072,56.7,84,94,3.94,overcast clouds,0.0,0
101,new norfolk,AU,-42.7826,147.0587,57.88,57,38,1.48,scattered clouds,0.0,0
102,san borja,BO,-14.8167,-66.85,73.92,65,100,2.42,overcast clouds,0.0,0
103,amga,RU,60.8953,131.9608,91.36,41,2,2.77,clear sky,0.0,0
104,saldanha,ZA,-33.0117,17.9442,55.18,82,0,9.53,clear sky,0.0,0
105,lake city,US,30.1897,-82.6393,80.78,76,68,2.33,moderate rain,3.87,0
106,sao filipe,CV,14.8961,-24.4956,73.72,80,9,5.75,clear sky,0.0,0
107,mianwali,PK,32.5741,71.5264,101.03,38,32,7.85,scattered clouds,0.0,0
108,nelson bay,AU,-32.7167,152.15,62.01,99,100,15.99,light rain,0.13,0
109,te anau,NZ,-45.4167,167.7167,48.83,73,84,8.79,broken clouds,0.0,0
110,lima,PE,-12.0432,-77.0282,60.91,85,100,10.36,overcast clouds,0.0,0
111,vaini,TO,-21.2,-175.2,72.86,71,100,25.34,overcast clouds,0.0,0
112,waddan,LY,29.1614,16.139,75.6,72,0,5.97,clear sky,0.0,0
113,ugoofaaru,MV,5.6667,73.0,83.26,78,100,14.88,overcast clouds,0.0,0
114,sawtell,AU,-30.3833,153.1,60.19,94,100,13.8,heavy intensity rain,5.01,0
115,dumas,US,35.8656,-101.9732,85.53,34,0,4.61,clear sky,0.0,0
116,lompoc,US,34.6391,-120.4579,69.78,85,100,23.0,overcast clouds,0.0,0
117,dingle,PH,10.9995,122.6711,83.37,77,81,6.2,light rain,0.49,0
118,bilma,NE,18.6853,12.9164,85.53,31,0,10.54,clear sky,0.0,0
119,gisborne,NZ,-38.6533,178.0042,56.8,75,100,10.2,light rain,0.12,0
120,pevek,RU,69.7008,170.3133,46.0,72,16,3.06,few clouds,0.0,0
121,dromolaxia,CY,34.8761,33.586,81.99,78,0,3.44,clear sky,0.0,0
122,kuusamo,FI,65.9667,29.1833,62.64,77,21,3.44,few clouds,0.0,0
123,takoradi,GH,4.8845,-1.7554,74.35,91,87,6.22,light rain,0.81,0
124,seddon,AU,-37.8068,144.8916,60.67,74,40,12.66,scattered clouds,0.0,0
125,kattivakkam,IN,13.2167,80.3167,86.09,74,100,15.46,overcast clouds,0.0,0
126,vila velha,BR,-20.3297,-40.2925,69.75,95,75,2.3,broken clouds,0.0,0
127,khatanga,RU,71.9667,102.5,51.96,49,100,2.15,overcast clouds,0.0,0
128,barrow,US,71.2906,-156.7887,39.22,87,100,8.05,fog,0.0,0
129,kimbe,PG,-5.5502,150.1429,86.7,69,100,3.76,light rain,0.61,0
130,saint george,US,37.1041,-113.5841,83.66,15,0,9.8,clear sky,0.0,0
131,sakakah,SA,29.9697,40.2064,80.76,34,0,11.07,clear sky,0.0,0
132,hamilton,US,39.1834,-84.5333,81.21,63,62,1.99,broken clouds,0.0,0
133,norman wells,CA,65.282,-126.8329,80.56,30,9,13.8,clear sky,0.0,0
134,palmer,US,42.1584,-72.3287,68.22,73,99,0.58,overcast clouds,0.0,0
135,farafangana,MG,-22.8167,47.8333,67.59,87,95,4.16,light rain,0.14,0
136,torbay,CA,47.6666,-52.7314,57.58,76,0,5.99,clear sky,0.0,0
137,lebu,CL,-37.6167,-73.65,50.23,84,100,20.38,moderate rain,1.78,0
138,nome,US,64.5011,-165.4064,50.16,76,100,6.91,overcast clouds,0.0,0
139,bull savanna,JM,17.8868,-77.5902,76.17,82,30,10.18,scattered clouds,0.0,0
140,poum,NC,-20.2333,164.0167,77.45,84,69,24.87,broken clouds,0.0,0
141,provideniya,RU,64.3833,-173.3,48.36,87,100,11.18,overcast clouds,0.0,0
142,san jeronimo,PE,-11.9472,-75.2829,46.54,75,68,0.94,broken clouds,0.0,0
143,los llanos de aridane,ES,28.6585,-17.9182,65.95,79,75,13.8,broken clouds,0.0,0
144,meulaboh,ID,4.1363,96.1285,77.09,83,100,6.82,overcast clouds,0.0,0
145,ericeira,PT,38.9627,-9.4156,65.35,97,25,6.71,scattered clouds,0.0,0
146,piacabucu,BR,-10.4056,-36.4344,73.85,85,95,12.21,overcast clouds,0.0,0
147,cabo san lucas,MX,22.8909,-109.9124,90.7,64,1,11.86,clear sky,0.0,0
148,angoche,MZ,-16.2325,39.9086,69.67,76,0,7.58,clear sky,0.0,0
149,victoria,HK,22.2855,114.1577,86.38,82,100,13.0,moderate rain,1.5,0
150,atuona,PF,-9.8,-139.0333,78.03,72,6,23.55,clear sky,0.0,0
151,hofn,IS,64.2539,-15.2082,51.12,66,9,8.97,clear sky,0.0,0
152,beshpagir,RU,45.0217,42.3808,67.42,54,33,5.57,scattered clouds,0.0,0
153,souillac,MU,-20.5167,57.5167,70.23,73,93,16.37,overcast clouds,0.0,0
154,bredasdorp,ZA,-34.5322,20.0403,46.6,89,0,2.21,clear sky,0.0,0
155,abadiania,BR,-16.2042,-48.7069,53.87,52,2,3.15,clear sky,0.0,0
156,khowai,IN,24.1,91.6333,82.18,72,88,2.21,overcast clouds,0.0,0
157,jerantut,MY,3.936,102.3626,81.25,78,93,1.88,overcast clouds,0.0,0
158,shingu,JP,33.7333,135.9833,76.26,96,100,5.68,moderate rain,1.94,0
159,chernihiv,UA,51.0,32.0,65.66,71,0,2.57,clear sky,0.0,0
160,narsaq,GL,60.9167,-46.05,48.42,89,100,6.46,overcast clouds,0.0,0
161,lewistown,US,40.5992,-77.5714,72.34,97,0,0.0,clear sky,0.0,0
162,baglung,NP,28.2719,83.5898,79.34,85,66,3.11,broken clouds,0.0,0
163,lata,PT,40.1629,-8.3327,63.81,93,0,1.05,clear sky,0.0,0
164,mackenzie,CA,55.2999,-123.1698,73.62,33,40,9.22,scattered clouds,0.0,0
165,carnarvon,AU,-24.8667,113.6333,67.69,26,35,8.12,scattered clouds,0.0,0
166,orange cove,US,36.6244,-119.3137,85.93,27,0,4.94,clear sky,0.0,0
167,ahipara,NZ,-35.1667,173.1667,58.8,96,100,13.35,light rain,0.4,0
168,kaitangata,NZ,-46.2817,169.8464,53.33,59,13,15.68,few clouds,0.0,0
169,simpang,ID,-1.2667,104.0833,83.37,81,97,2.01,overcast clouds,0.0,0
170,turukhansk,RU,65.8167,87.9833,58.44,50,100,9.44,overcast clouds,0.0,0
171,black river,JM,18.0264,-77.8487,79.0,79,20,5.35,few clouds,0.0,0
172,bluff,NZ,-46.6,168.3333,54.81,71,82,35.9,broken clouds,0.0,0
173,asau,RO,46.4333,26.4,63.52,74,7,3.85,clear sky,0.0,0
174,tessaoua,NE,13.7574,7.9874,83.77,47,99,10.63,overcast clouds,0.0,0
175,san luis,AR,-33.295,-66.3356,46.78,38,0,13.4,clear sky,0.0,0
176,longyearbyen,SJ,78.2186,15.6401,40.84,100,75,8.05,light intensity drizzle rain,0.0,0
177,annau,TM,37.8876,58.516,74.93,34,0,9.13,clear sky,0.0,0
178,maralal,KE,1.0968,36.698,53.4,82,59,2.13,broken clouds,0.0,0
179,san francisco del mar,MX,16.2333,-94.65,81.05,80,85,16.67,overcast clouds,0.0,0
180,egvekinot,RU,66.3167,-179.1667,46.51,75,94,5.53,overcast clouds,0.0,0
181,bantry,IE,51.6833,-9.45,56.79,91,84,4.94,broken clouds,0.0,0
182,haines junction,CA,60.7522,-137.5108,60.17,90,68,11.12,moderate rain,3.01,0
183,quesnel,CA,52.9999,-122.5029,68.9,63,67,2.89,broken clouds,0.0,0
184,de aar,ZA,-30.6497,24.0123,51.12,54,92,9.37,overcast clouds,0.0,0
185,copala,MX,16.65,-98.9833,77.38,89,100,8.34,overcast clouds,0.0,0
186,tamandare,BR,-8.7597,-35.1047,74.37,85,19,10.98,few clouds,0.0,0
187,fairbanks,US,64.8378,-147.7164,83.61,43,75,6.91,smoke,0.0,0
188,vestmannaeyjar,IS,63.4427,-20.2734,49.14,79,48,6.49,scattered clouds,0.0,0
189,carmarthen,GB,51.8555,-4.3054,58.89,89,49,5.39,scattered clouds,0.0,0
190,nybro,SE,56.7446,15.9071,58.05,93,39,7.56,scattered clouds,0.0,0
191,dudinka,RU,69.4058,86.1778,56.62,42,0,10.09,clear sky,0.0,0
